id,name,english_name,type,org,group_name,photo_url,twitter,video_count,subscriber_count,clip_count,published_at,inactive,kind,main_idol_ids_json,topic_idol_ids_json,linked_idol_ids_json,updated_at
UC1opHUrw8rvnsadT-iGp7Cg,Aqua Ch. 湊あくあ,Minato Aqua,vtuber,Hololive,2nd Generation,https://yt3.ggpht.com/ytc/AIdro_kaZLtKaya9TSJr3M4lpzV95R2rWdQtGk67fwedroUfSnE=s800-c-k-c0x00ffffff-no-rj,minatoaqua,788,2220000,15953,,0,idol,"[""minato-aqua""]",[],"[""minato-aqua""]",2026-07-01T22:28:55.536Z
UCOyYb1c43VlX9rc_lT6NKQw,Ayunda Risu Ch. hololive-ID,Ayunda Risu,vtuber,Hololive,Indonesia 1st Gen (AREA 15),https://yt3.ggpht.com/8dYniYG0Fm49TBxwOW39wDzM25P3aAU7r-wecNaOz5a3I1t8dsYbS5OPZXFeHYQpmVRrY9KrSg=s800-c-k-c0x00ffffff-no-rj,ayunda_risu,1614,992000,5023,2020-03-03T07:34:08.504Z,0,idol,"[""ayunda-risu""]",[],"[""ayunda-risu""]",2026-07-01T22:28:55.536Z
UCUKD-uaobj9jiqB-VXt71mA,Botan Ch.獅白ぼたん,Shishiro Botan,vtuber,Hololive,5th Generation (holoFive),https://yt3.ggpht.com/WSOgf5zOOFKQN8pQB8VL8R6OSO0j81oGQSSzN22m8mts4VWZSPHDou7II8Lk4JA3OlQL-Iuu=s800-c-k-c0x00ffffff-no-rj,shishirobotan,1618,1580000,16189,2020-04-13T03:59:45.278Z,0,idol,"[""shishiro-botan""]",[],"[""shishiro-botan""]",2026-07-01T22:28:55.536Z
UCvN5h1ShZtc7nly3pezRayg,Cecilia Immergreen Ch. hololive-EN,Cecilia Immergreen,vtuber,Hololive,English -Justice-,https://yt3.ggpht.com/sSuJylnDA4Si69bKWVzwUhrOhgIkBCzGE6DHgDyHCJux8TKi7WU8GyKaKZHEN0a3QG7s2yJ399g=s800-c-k-c0x00ffffff-no-rj,ceciliaimgreen,432,520000,4704,2024-04-03T06:27:22.304Z,0,idol,"[""cecilia-immergreen""]",[],"[""cecilia-immergreen""]",2026-07-01T22:28:55.536Z
UCO_aKKYxn4tvrqPjcTzZ6EQ,Ceres Fauna Ch. hololive-EN,Ceres Fauna,vtuber,Hololive,English -Promise-,https://yt3.googleusercontent.com/TxZ0xm54BKwYJGEoMPda7gK5iPu7Eh0CxLPM4EU9blg4m6ATy5d8NtwBVSOOZFbRdB67PtUf=s800-c-k-c0x00ffffff-no-rj,ceresfauna,735,1010000,10750,2021-07-26T15:38:58.797Z,0,idol,"[""ceres-fauna""]",[],"[""ceres-fauna""]",2026-07-01T22:28:55.536Z
UCKMWFR6lAstLa7Vbf5dH7ig,Chihaya Ch. 輪堂 千速 - FLOW GLOW,Rindo Chihaya,vtuber,Hololive,DEV_IS FLOW GLOW,https://yt3.ggpht.com/VW2sZveoSaP-ZrCVPqNdM57LyRWIaTAVpSeWjcWScm3v1lqHqgNL2_bKZSX1jvuKBDehi0fFPQ=s800-c-k-c0x00ffffff-no-rj,rindochihaya,635,577000,1655,2024-08-01T08:43:34.503Z,0,idol,"[""rindo-chihaya""]",[],"[""rindo-chihaya""]",2026-07-01T22:28:55.536Z
UCIBY1ollUsauvVi4hW4cumw,Chloe ch. 沙花叉クロヱ - holoX -,Sakamata Chloe,vtuber,Hololive,6th Generation -holoX-,https://yt3.ggpht.com/laCUmozlesp2wZd9k_DCDG_AYgQRGJm0yiL5pigqWAJE1TzYaOXQ6VcfEGacl8L-gpgR07I7HA=s800-c-k-c0x00ffffff-no-rj,sakamatachloe,649,1370000,12468,2021-09-12T06:13:43.713Z,0,idol,"[""sakamata-chloe""]",[],"[""sakamata-chloe""]",2026-07-01T22:28:55.536Z
UC1suqwovbL1kzsoaZgFZLKg,Choco Ch. 癒月ちょこ,Yuzuki Choco,vtuber,Hololive,2nd Generation,https://yt3.ggpht.com/gv-5tmPSiFipkP01atgnCS6WwdxzUxfermmqGw_UhuDNtRFmbdb2NALcL6rR0LxaM5JX9JhE9g=s800-c-k-c0x00ffffff-no-rj,yuzukichococh,1128,1110000,5936,,0,idol,"[""yuzuki-choco""]",[],"[""yuzuki-choco""]",2026-07-01T22:28:55.536Z
UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,Kiryu Coco,vtuber,Hololive,4th Generation (holoForce),https://yt3.ggpht.com/ytc/AMLnZu8xM8iFAtHMoKUPqKh-0NT7QL6zU06fEgwkIB0D0A=s800-c-k-c0x00ffffff-no-rj,kiryucoco,815,1430000,6246,2019-12-04T09:54:01.485Z,0,idol,"[""kiryu-coco""]",[],"[""kiryu-coco""]",2026-07-01T22:28:55.536Z
UCW5uhrG1eCBYditmhL0Ykjw,Elizabeth Rose Bloodflame Ch. hololive-EN,Elizabeth Rose Bloodflame,vtuber,Hololive,English -Justice-,https://yt3.ggpht.com/1aoKeoCGzuD7XK2U8nUIHfpynIOLecHxF7Adh09XshlrL9kne2uKGOllFcoA2iXBVVe51_V6E48=s800-c-k-c0x00ffffff-no-rj,ERBloodflame,301,624000,2214,2024-04-03T06:07:32.690Z,0,idol,"[""elizabeth-rose-bloodflame""]",[],"[""elizabeth-rose-bloodflame""]",2026-07-01T22:28:55.536Z
